tag	score	strategic_fit	hireability	priority	readiness	company	title	url	salary	comp_gate	why_it_matches	why_it_may_fail	recommended_resume_type	recommended_proof_points	salary_action	next_action	reasons
watch	3	28	38	34	low	Arize AI	AI Product Manager (United States (Remote))	https://job-boards.greenhouse.io/arizeai/jobs/5818115004	$150000-$220000	meets	Partial adjacency to operations, systems, or mission work.	Transition credibility is weak from current title history.	mission_integration_advisory		Ask above $150K; pursue only if scope and work model hold.	Keep as a market signal, not an immediate application target.	authority: manager; flex/location: remote; salary signal: $150000-$220000; comp gate: salary meets $150K floor; hireability: low
systems-escape-velocity	3	31	30	30	low	Hightouch	Software Engineer, AI Agents	https://job-boards.greenhouse.io/hightouch/jobs/5542602004	$180000-$400000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: agent; salary signal: $180000-$400000; comp gate: salary meets $150K floor; hireability: low; hireability notes: title-history risk: software engineer
noise	3	39	19	28	low	Anthropic	Applied AI Architect, State and Local Government (New York City, NY; Washington, DC)	https://job-boards.greenhouse.io/anthropic/jobs/5140403008	$240000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history. Location risk: new york, new york city.	mission_integration_advisory		Ask above $150K; pursue only if scope and work model hold.	Ignore unless new evidence improves fit.	systems: applied ai; authority: architect; company priority: high_priority; location risk: new york, new york city, washington, dc; salary signal: $240000; comp gate: salary meets $150K floor; hireability: low; hireability notes: location risk: new york, new york city, washington, dc
salary_unknown_review	10	27	22	24	low	Airtable	Senior Solutions Architect (Remote - US)	https://job-boards.greenhouse.io/airtable/jobs/8498915002		unknown	Systems/workflow/integration language fits the operator-to-systems-builder story. Work model or location appears survivable.	Transition credibility is weak from current title history. Compensation is not verified against the $150K floor.	mission_integration_advisory		Verify salary before resume tailoring; do not move into apply-now until confirmed >= $150K.	Investigate salary and work model first; tailor only if both clear the bar.	systems: solutions architect; authority: senior, architect; company priority: high_priority; flex/location: remote; location fit: remote - us; comp gate: salary not confirmed >= $150K; hireability: low
systems-escape-velocity	9	48	4	24	low	Anthropic	Forward Deployed Engineer, Applied AI	https://job-boards.greenhouse.io/anthropic/jobs/4985877008		unknown	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history. Compensation is not verified against the $150K floor.	operations_research_systems		Verify salary before resume tailoring; do not move into apply-now until confirmed >= $150K.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: forward deployed, deployed engineer, applied ai; company priority: high_priority; comp gate: salary not confirmed >= $150K; hireability: low; hireability notes: commercial FDE likely tests formal build depth
systems-escape-velocity	8	40	9	23	low	Anthropic	Solutions Architect, Applied AI (Industries)	https://job-boards.greenhouse.io/anthropic/jobs/4977624008		unknown	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history. Compensation is not verified against the $150K floor.	operations_research_systems		Verify salary before resume tailoring; do not move into apply-now until confirmed >= $150K.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: solutions architect, applied ai; authority: architect; company priority: high_priority; comp gate: salary not confirmed >= $150K; hireability: low
systems-escape-velocity	5	29	9	18	low	Anthropic	Applied AI Architect, Startups	https://job-boards.greenhouse.io/anthropic/jobs/5057258008		unknown	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history. Compensation is not verified against the $150K floor.	operations_research_systems		Verify salary before resume tailoring; do not move into apply-now until confirmed >= $150K.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: applied ai; authority: architect; company priority: high_priority; comp gate: salary not confirmed >= $150K; hireability: low
systems-escape-velocity	8	13	15	14	low	Airtable	AI Agent Architect, Customer Experience (Remote - US)	https://job-boards.greenhouse.io/airtable/jobs/8409168002		unknown	Systems/workflow/integration language fits the operator-to-systems-builder story. Work model or location appears survivable.	Transition credibility is weak from current title history. Compensation is not verified against the $150K floor.	operations_research_systems		Verify salary before resume tailoring; do not move into apply-now until confirmed >= $150K.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: agent; authority: architect; company priority: high_priority; flex/location: remote; location fit: remote - us; comp gate: salary not confirmed >= $150K; hireability: low
noise	13	22	5	13	low	OpenAI	Forward Deployed Software Engineer (Seattle)	https://jobs.ashbyhq.com/openai/7b90b83c-ec28-4e65-a235-6675e37b91c3	$153K-$325K	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history. Location risk: seattle.	mission_integration_advisory		Ask above $150K; pursue only if scope and work model hold.	Ignore unless new evidence improves fit.	systems: forward deployed; company priority: high_priority; location risk: seattle; salary signal: $153K-$325K; comp gate: salary meets $150K floor; hireability: low; hireability notes: title-history risk: software engineer, location risk: seattle
watch	7	1	9	5	low	Airtable	Software Engineer, Compute (8+ YOE) (San Francisco, CA; New York, NY; Remote - US)	https://job-boards.greenhouse.io/airtable/jobs/8442397002	$196000	meets	Work model or location appears survivable.	Transition credibility is weak from current title history. Location risk: new york, san francisco.	mission_integration_advisory		Ask above $150K; pursue only if scope and work model hold.	Keep as a market signal, not an immediate application target.	company priority: high_priority; flex/location: remote; location fit: remote - us; location risk: new york, san francisco; salary signal: $196000; comp gate: salary meets $150K floor; hireability: low; hireability notes: title-history risk: software engineer, 8+ yoe, location risk: new york, san francisco
watch	7	1	9	5	low	Airtable	Software Engineer, Product Backend (8+ YOE) (San Francisco, CA; Remote - US (Seattle, WA only))	https://job-boards.greenhouse.io/airtable/jobs/8397618002	$213000	meets	Work model or location appears survivable.	Transition credibility is weak from current title history. Location risk: san francisco, seattle.	mission_integration_advisory		Ask above $150K; pursue only if scope and work model hold.	Keep as a market signal, not an immediate application target.	company priority: high_priority; flex/location: remote; location fit: remote - us; location risk: san francisco, seattle; salary signal: $213000; comp gate: salary meets $150K floor; hireability: low; hireability notes: title-history risk: software engineer, 8+ yoe, location risk: san francisco, seattle
